Tanggal Lahir,Pergawean,Status Kawin,Penghasilan per Tahun,Tanggungan Ortu,Tanggungan Anak,Mulai Berlangganan,Transaksi Terakhir,Sembako,Elektronik,Hobi,Pakaian,Buku,Kesehatan,Jml Transaksi Diskon,Jml Transaksi App,Jml Transaksi Web,Jml Transaksi Outlet,Jml Kunjungan App,Komplain,Pulau,Urutan Terima Penawaran
5/31/1969,Karyawan,Menikah,"Rp4.428.000,- ",0,1,-2928,0,16558,4877,12560,2215,4861,321702,0,25,0,0,1,Tidak pernah,Jawa,
8/14/1977,Karyawan,Menikah,"Rp54.809.000,- ",1,1,-2952,0,63558,6877,57560,13215,13861,22702,4,2,1,5,4,Tidak pernah,Jawa,
11/27/1977,Karyawan,Menikah,"Rp54.809.000,- ",1,1,-2952,0,63558,6877,57560,13215,13861,22702,4,2,1,5,4,Tidak pernah,Jawa,5
8/12/1958,Kepala Divisi,Cerai,"Rp32.173.000,- ",0,1,-2993,0,18558,877,2560,215,861,2702,1,1,0,3,4,Tidak pernah,Jawa,
10/6/1960,C-level,Lajang,"Rp47.823.000,- ",0,1,-3002,0,53558,1877,5560,2215,1861,10702,2,2,0,3,8,Tidak pernah,Sumatera,
5/25/1958,Manager,Lajang,"Rp30.523.000,- ",2,1,-3024,0,5558,877,3560,215,861,5702,1,1,0,2,7,Tidak pernah,Sumatera,
8/23/1954,Manager,Berumahtangga,"Rp36.634.000,- ",0,1,-3058,0,213558,9877,76560,4215,3861,30702,3,5,2,5,7,Tidak pernah,Bali,
9/2/1966,Manager,Lajang,"Rp43.456.000,- ",0,1,-3121,0,275558,11877,68560,25215,7861,7702,3,5,1,8,5,Tidak pernah,Sulawesi,
6/16/1979,Manager,Menikah,"Rp40.662.000,- ",1,0,-3132,0,40558,2877,23560,215,4861,23702,2,2,1,3,4,Tidak pernah,NTB,
10/21/1976,Kepala Divisi,Menikah,"Rp49.544.000,- ",1,0,-3163,0,308558,877,73560,215,861,23702,2,5,1,8,7,Tidak pernah,Jawa,
11/26/1969,Karyawan,Lajang,"Rp57.731.000,- ",0,1,-3244,0,266558,21877,300560,65215,8861,44702,4,8,8,6,6,Tidak pernah,Sulawesi,
6/20/1965,Manager,Lajang,"Rp33.168.000,- ",0,1,-3285,0,80558,1877,37560,215,1861,3702,3,2,1,4,7,Tidak pernah,Jawa,
9/2/1956,Karyawan,Berumahtangga,"Rp54.450.000,- ",1,1,-3314,0,454558,877,171560,8215,19861,32702,12,9,2,8,8,Tidak pernah,Jawa,
10/19/1956,Karyawan,Berumahtangga,"Rp54.450.000,- ",1,1,-3314,0,454558,877,171560,8215,19861,32702,12,9,2,8,8,Tidak pernah,Jawa,
3/23/1956,Kepala Divisi,Duda,"Rp35.340.000,- ",1,1,-2661,1,27558,877,12560,215,1861,5702,2,2,0,3,5,Tidak pernah,Jawa,
5/27/1975,Karyawan,Lajang,"Rp73.170.000,- ",0,0,-2690,1,184558,174877,256560,50215,30861,32702,1,5,4,6,2,Tidak pernah,Sumatera,
1/12/1971,Kepala Divisi,Cerai,"Rp65.808.000,- ",1,1,-2691,1,155558,7877,80560,13215,7861,10702,3,5,1,5,6,Tidak pernah,Jawa,
9/11/1986,Karyawan,Menikah,"Rp79.529.000,- ",0,0,-2724,1,423558,42877,706560,73215,197861,197702,1,4,8,9,2,Tidak pernah,Sumatera,
2/30/1972,Kepala Divisi,Berumahtangga,"Rp34.578.000,- ",2,1,-2740,1,7558,877,1560,215,861,702,1,1,0,2,6,Tidak pernah,Kalimantan,
4/22/1974,Kepala Divisi,Menikah,"Rp46.374.000,- ",0,1,-2765,1,408558,877,21560,215,861,17702,3,7,1,7,8,Tidak pernah,Sulawesi,"[0, 3, 5]"
5/29/1990,Karyawan,Menikah,"Rp18.351.000,- ",0,0,-2904,1,1558,12877,9560,215,14861,7702,1,2,0,3,7,Tidak pernah,Jawa,
5/23/1987,Kepala Divisi,Lajang,"Rp95.169.000,- ",0,0,-2924,1,1285558,21877,449560,106215,20861,20702,1,4,3,4,1,Tidak pernah,Jawa,"[0, 4, 5]"
1/31/1984,C-level,Menikah,"Rp65.370.000,- ",0,0,-2993,1,71558,22877,112560,138215,89861,29702,1,2,3,13,1,Tidak pernah,Jawa,
7/15/1960,Manager,Cerai,"Rp39.228.000,- ",0,0,-3076,1,7558,1877,6560,215,3861,3702,1,0,0,3,4,Tidak pernah,Bali,
11/25/1961,Kepala Divisi,Lajang,"Rp84.865.000,- ",0,0,-3077,1,1248558,16877,349560,43215,16861,16702,1,2,4,9,4,Tidak pernah,Jawa,"[0, 1, 3, 4, 5]"
7/1/1968,Karyawan,Menikah,"Rp61.314.000,- ",0,1,-3091,1,378558,877,189560,97215,172861,172702,2,5,5,12,3,Tidak pernah,Jawa,
12/5/1972,Karyawan,Lajang,"Rp21.359.000,- ",1,0,-3096,1,12558,2877,17560,6215,1861,10702,2,2,0,3,8,Tidak pernah,Sumatera,5
4/25/1955,Kepala Divisi,Menikah,"Rp66.465.000,- ",0,1,-3117,1,1200558,877,204560,38215,29861,14702,3,11,9,12,6,Tidak pernah,Jawa,0
5/13/1983,C-level,Lajang,"Rp81.698.000,- ",0,0,-3146,1,709558,45877,115560,30215,160861,45702,1,8,2,5,5,Tidak pernah,Jawa,"[0, 5]"
3/9/1986,Karyawan,Lajang,"Rp39.146.000,- ",1,0,-3161,1,94558,1877,33560,13215,12861,12702,3,4,0,4,8,Tidak pernah,Jawa,
8/4/1970,C-level,Cerai,"Rp25.959.000,- ",1,1,-3161,1,4558,2877,12560,7215,5861,26702,2,1,2,2,6,Tidak pernah,Jawa,5
7/14/1961,Karyawan,Berumahtangga,"Rp64.260.000,- ",0,0,-3195,1,539558,169877,816560,20215,861,30702,1,4,5,4,3,Tidak pernah,Jawa,5
2/31/1973,Karyawan,Menikah,"Rp32.300.000,- ",1,0,-3203,1,13558,3877,6560,6215,5861,6702,1,1,0,3,8,Tidak pernah,Jawa,
2/18/1965,Manager,Menikah,"Rp74.806.000,- ",0,1,-3218,1,670558,9877,249560,215,28861,9702,2,5,4,5,4,Tidak pernah,Kalimantan,
7/20/1970,Karyawan,Cerai,"Rp72.967.000,- ",0,1,-3222,1,158558,35877,179560,215,861,125702,2,7,2,8,5,Tidak pernah,NTB,"[2, 5]"
6/6/1960,Karyawan,Lajang,"Rp48.904.000,- ",0,1,-3235,1,283558,10877,38560,215,13861,27702,4,7,2,4,8,Tidak pernah,NTT,
3/31/1984,C-level,Menikah,"Rp14.796.000,- ",1,0,-3311,1,13558,3877,8560,7215,4861,16702,2,1,0,3,9,Tidak pernah,NTB,5
12/29/1954,Manager,Menikah,"Rp66.991.000,- ",0,0,-3317,1,496558,36877,460560,189215,60861,12702,3,4,8,6,3,Tidak pernah,NTB,
11/29/1978,C-level,Lajang,"Rp52.195.000,- ",2,1,-2709,2,12558,877,4560,215,861,1702,1,1,0,2,8,Tidak pernah,Bali,
3/17/1956,Karyawan,Menikah,"Rp90.369.000,- ",0,0,-2723,2,292558,51877,981560,224215,23861,17702,1,4,6,6,1,Tidak pernah,Jawa,5
8/3/1974,Wirausaha,Menikah,"Rp18.393.000,- ",1,0,-2753,2,7558,10877,13560,16215,861,4702,2,3,0,3,8,Tidak pernah,Jawa,
12/17/1952,Karyawan,Lajang,"Rp47.139.000,- ",1,1,-2776,2,46558,877,12560,215,2861,23702,2,2,1,2,7,Tidak pernah,Jawa,5
3/10/1973,Manager,Menikah,"Rp38.576.000,- ",0,1,-2778,2,34558,877,7560,215,861,702,1,1,0,3,7,Tidak pernah,Sulawesi,
10/15/1975,Kepala Divisi,Berumahtangga,"Rp61.905.000,- ",0,1,-2806,2,167558,877,43560,6215,2861,13702,2,4,2,4,5,Tidak pernah,Bali,
1/8/1962,Karyawan,Menikah,"Rp83.715.000,- ",0,0,-2807,2,318558,8877,407560,150215,35861,8702,1,2,8,13,0,Tidak pernah,Bali,
11/21/1964,Karyawan,Menikah,"Rp60.597.000,- ",0,1,-2840,2,522558,877,257560,32215,16861,66702,4,2,2,8,7,Tidak pernah,Jawa,"[0, 5]"
3/14/1982,Manager,Lajang,"Rp6.560.000,- ",0,0,-2860,2,67558,11877,26560,4215,3861,262702,0,1,0,1,17,Tidak pernah,Jawa,
6/9/1961,Manager,Berumahtangga,"Rp48.330.000,- ",0,1,-2887,2,28558,877,4560,215,861,702,1,1,0,3,5,Tidak pernah,Jawa,
4/26/1968,Kepala Divisi,Lajang,"Rp38.236.000,- ",1,1,-2943,2,58558,877,18560,2215,861,10702,4,3,0,4,7,Tidak pernah,Jawa,
9/7/1977,Manager,Menikah,"Rp22.701.000,- ",1,0,-2958,2,2558,4877,9560,215,4861,5702,1,1,0,3,5,Tidak pernah,Jawa,
5/29/1974,Manager,Cerai,"Rp53.367.000,- ",1,1,-2963,2,229558,7877,140560,10215,3861,11702,7,5,1,8,7,Tidak pernah,Kalimantan,5
5/20/1986,Karyawan,Berumahtangga,"Rp34.728.000,- ",1,0,-2995,2,14558,877,16560,215,861,6702,1,1,1,2,6,Tidak pernah,Jawa,5
1/30/1956,Manager,Menikah,"Rp63.915.000,- ",0,2,-2995,2,622558,7877,115560,30215,861,15702,2,6,3,12,5,Tidak pernah,Kalimantan,
10/13/1960,C-level,Menikah,"Rp82.504.000,- ",0,0,-2998,2,362558,50877,431560,134215,35861,54702,1,3,6,7,1,Tidak pernah,Sulawesi,
12/22/1972,Kepala Divisi,Lajang,"Rp38.578.000,- ",1,1,-3033,2,38558,4877,22560,3215,3861,3702,3,3,0,3,8,Tidak pernah,Jawa,5
1/10/1972,Kepala Divisi,Lajang,"Rp38.578.000,- ",1,1,-3033,2,38558,4877,22560,3215,3861,3702,3,3,0,3,8,Tidak pernah,Jawa,
5/25/1975,Kepala Divisi,Menikah,"Rp79.174.000,- ",0,0,-3195,2,1074558,37877,518560,193215,92861,129702,1,5,6,7,2,Tidak pernah,Sumatera,"[0, 4, 5]"
7/25/1962,C-level,Cerai,"Rp81.975.000,- ",0,1,-3201,2,983558,76877,184560,180215,138861,27702,1,6,3,4,7,Tidak pernah,Bali,4
8/2/1977,Manager,Menikah,"Rp43.263.000,- ",0,1,-3246,2,262558,6877,61560,215,10861,102702,3,5,2,6,5,Tidak pernah,Jawa,
10/1/1970,Karyawan,Lajang,"Rp27.242.000,- ",1,0,-3256,2,3558,17877,26560,20215,1861,39702,2,2,0,3,9,Tidak pernah,Sulawesi,5
9/5/1971,Karyawan,Menikah,"Rp76.445.000,- ",1,0,-3300,2,739558,107877,309560,140215,80861,35702,1,2,5,13,6,Tidak pernah,Bali,
3/3/1965,Karyawan,Berumahtangga,"Rp75.276.000,- ",0,0,-3301,2,610558,105877,125560,137215,42861,21702,1,9,4,9,5,Tidak pernah,Jawa,
2/29/1963,Karyawan,Duda,"Rp34.213.000,- ",1,1,-3321,2,50558,4877,28560,6215,3861,26702,3,3,1,2,9,Tidak pernah,Bali,5
7/27/1976,Kepala Divisi,Berumahtangga,"Rp72.335.000,- ",0,0,-3346,2,1285558,105877,653560,28215,21861,702,1,10,4,8,8,Tidak pernah,Jawa,5
3/23/1964,Manager,Menikah,"Rp79.143.000,- ",0,0,-3348,2,650558,37877,780560,27215,167861,32702,1,6,9,13,3,Tidak pernah,Kalimantan,
4/28/1947,Karyawan,Menikah,"Rp27.469.000,- ",0,0,-3357,2,9558,1877,2560,3215,2861,702,1,0,0,3,6,Tidak pernah,Sumatera,
6/11/1969,Karyawan,Berumahtangga,"Rp68.695.000,- ",0,0,-2665,3,458558,81877,356560,106215,50861,40702,1,4,4,7,2,Tidak pernah,Jawa,
5/8/1969,Karyawan,Berumahtangga,"Rp68.695.000,- ",0,0,-2665,3,458558,81877,356560,106215,50861,40702,1,4,4,7,2,Tidak pernah,Sumatera,
3/5/1957,Karyawan,Lajang,"Rp50.388.000,- ",0,1,-2693,3,292558,6877,37560,215,3861,34702,4,6,1,6,7,Tidak pernah,NTB,"[0, 3, 5]"
1/25/1970,Kepala Divisi,Berumahtangga,"Rp77.622.000,- ",0,2,-2737,3,520558,7877,154560,19215,861,14702,2,6,3,11,3,Tidak pernah,Bali,
3/7/1962,Karyawan,Cerai,"Rp46.102.000,- ",2,1,-2772,3,14558,877,1560,215,861,1702,1,1,0,2,7,Tidak pernah,Jawa,
10/17/1980,C-level,Lajang,"Rp31.859.000,- ",1,0,-2783,3,3558,4877,7560,15215,8861,11702,1,1,0,3,7,Tidak pernah,Jawa,
11/8/1987,C-level,Lajang,"Rp23.830.000,- ",0,0,-2803,3,1558,8877,6560,4215,8861,16702,1,1,0,3,7,Tidak pernah,Jawa,
11/14/1973,Karyawan,Menikah,"Rp24.639.000,- ",1,1,-2813,3,20558,3877,16560,215,4861,1702,3,2,0,4,6,Tidak pernah,Kalimantan,
10/14/1945,Kepala Divisi,Berumahtangga,"Rp71.604.000,- ",0,0,-2885,3,345558,53877,528560,98215,75861,97702,1,8,3,5,4,Tidak pernah,Jawa,"[2, 5]"
7/25/1984,Karyawan,Menikah,"Rp27.255.000,- ",1,0,-2895,3,22558,1877,11560,215,1861,2702,1,1,0,3,7,Tidak pernah,Jawa,
4/11/1977,Karyawan,Berumahtangga,"Rp55.375.000,- ",0,1,-2916,3,42558,11877,57560,10215,28861,14702,1,1,1,6,2,Tidak pernah,Sumatera,
5/15/1960,Kepala Divisi,Menikah,"Rp77.037.000,- ",0,1,-2920,3,463558,96877,333560,168215,53861,10702,1,7,7,12,3,Tidak pernah,Jawa,
2/14/1970,Karyawan,Lajang,"Rp24.163.000,- ",1,1,-2921,3,4558,1877,7560,2215,1861,2702,2,1,0,3,4,Tidak pernah,Jawa,
4/25/1969,Kepala Divisi,Berumahtangga,"Rp69.476.000,- ",0,0,-2933,3,260558,86877,559560,63215,9861,67702,1,4,6,4,2,Tidak pernah,NTT,
9/29/1979,Karyawan,Menikah,"Rp72.063.000,- ",0,1,-3022,3,180558,32877,348560,76215,32861,90702,2,5,2,12,2,Tidak pernah,NTB,
1/16/1962,Manager,Menikah,"Rp58.646.000,- ",0,1,-3045,3,62558,1877,44560,6215,5861,22702,1,2,1,4,4,Tidak pernah,Jawa,
5/6/1962,Manager,Menikah,"Rp58.646.000,- ",0,1,-3045,3,62558,1877,44560,6215,5861,22702,1,2,1,4,4,Tidak pernah,NTB,
5/31/1949,Manager,Duda,"Rp47.570.000,- ",1,1,-3057,3,67558,1877,20560,215,2861,31702,3,2,2,2,7,Tidak pernah,NTT,5
9/12/1980,Karyawan,Menikah,"Rp80.011.000,- ",0,1,-3087,3,421558,76877,536560,82215,178861,102702,2,8,6,5,4,Tidak pernah,Kalimantan,
4/23/1956,Kepala Divisi,Lajang,"Rp54.998.000,- ",0,1,-3137,3,154558,22877,202560,39215,30861,8702,5,4,2,9,4,Tidak pernah,Jawa,5
5/1/1948,Kepala Divisi,Lajang,"Rp60.200.000,- ",0,1,-3204,3,502558,19877,132560,215,6861,26702,6,6,2,11,6,Tidak pernah,Jawa,
10/26/1982,Karyawan,Menikah,"Rp63.211.000,- ",0,0,-3265,3,145558,193877,459560,205215,26861,145702,2,3,8,7,2,Tidak pernah,Jawa,5
8/12/1973,Kepala Divisi,Lajang,"Rp48.432.000,- ",0,1,-3280,3,322558,3877,50560,4215,3861,42702,5,7,1,6,8,Tidak pernah,Bali,5
7/3/1973,Kepala Divisi,HTS,"Rp48.432.000,- ",0,1,-3280,3,322558,3877,50560,4215,3861,42702,5,7,1,6,8,Tidak pernah,Sumatera,
3/23/1973,Kepala Divisi,HTS,"Rp48.432.000,- ",0,1,-3280,3,322558,3877,50560,4215,3861,42702,5,7,1,6,8,Tidak pernah,Sulawesi,5
11/20/1949,Manager,Menikah,"Rp62.845.000,- ",1,1,-3297,3,1099558,877,45560,215,861,34702,11,3,4,10,8,Tidak pernah,Jawa,3
10/13/1949,Manager,Menikah,"Rp62.845.000,- ",1,1,-3297,3,1099558,877,45560,215,861,34702,11,3,4,10,8,Tidak pernah,Jawa,"[3, 5]"
10/10/1965,Kepala Divisi,Berumahtangga,"Rp65.220.000,- ",0,0,-3325,3,890558,63877,292560,215,25861,12702,4,8,4,7,6,Tidak pernah,NTB,5
3/22/1990,Kepala Divisi,Menikah,"Rp74.214.000,- ",0,0,-3333,3,863558,83877,547560,86215,99861,33702,1,8,2,5,5,Tidak pernah,Jawa,
9/29/1980,C-level,Menikah,"Rp96.547.000,- ",0,0,-2698,4,448558,21877,125560,52215,101861,62702,0,7,6,8,2,Tidak pernah,Jawa,"[0, 2, 4, 5]"
7/29/1955,Karyawan,Berumahtangga,"Rp53.863.000,- ",0,1,-2704,4,399558,4877,30560,6215,4861,30702,3,7,1,7,7,Tidak pernah,Jawa,3
12/30/1970,Karyawan,Menikah,"Rp50.447.000,- ",2,0,-2730,4,85558,7877,24560,2215,3861,27702,1,3,1,3,6,Tidak pernah,Sulawesi,
6/31/1953,Karyawan,Menikah,"Rp37.716.000,- ",0,1,-2730,4,97558,1877,41560,6215,2861,41702,2,4,1,3,7,Tidak pernah,Kalimantan,
1/23/1982,Karyawan,Berumahtangga,"Rp45.203.000,- ",2,0,-2759,4,35558,3877,67560,10215,8861,24702,1,3,1,3,6,Tidak pernah,Bali,5
9/12/1975,Manager,Menikah,"Rp37.368.000,- ",1,0,-2856,4,3558,2877,11560,2215,2861,10702,1,1,0,2,6,Tidak pernah,Jawa,2
4/31/1955,Karyawan,Menikah,"Rp67.225.000,- ",0,1,-2876,4,315558,35877,322560,46215,7861,143702,3,7,2,11,5,Tidak pernah,NTT,
12/5/1976,Manager,Berumahtangga,"Rp65.104.000,- ",0,1,-2888,4,738558,877,232560,13215,20861,50702,2,3,5,7,7,Tidak pernah,Sumatera,5
11/1/1976,Manager,Berumahtangga,"Rp65.104.000,- ",0,1,-2888,4,738558,877,232560,13215,20861,50702,2,3,5,7,7,Tidak pernah,Jawa,
3/23/1949,Manager,Menikah,"Rp81.698.000,- ",0,0,-2896,4,179558,28877,520560,111215,123861,47702,1,3,8,13,1,Tidak pernah,Jawa,5
12/11/1968,Karyawan,Lajang,"Rp70.566.000,- ",0,1,-2927,4,381558,28877,215560,84215,28861,21702,2,6,5,9,3,Tidak pernah,Jawa,
12/18/1958,Karyawan,Berumahtangga,"Rp69.096.000,- ",0,1,-2936,4,247558,49877,159560,7215,82861,109702,1,5,2,10,4,Tidak pernah,NTB,
6/17/1962,Karyawan,Menikah,"Rp71.434.000,- ",0,1,-2945,4,711558,36877,217560,172215,96861,168702,3,7,4,7,4,Tidak pernah,Jawa,"[0, 3]"
5/14/1978,Karyawan,Menikah,"Rp33.039.000,- ",1,0,-2954,4,30558,8877,12560,8215,8861,12702,1,2,0,4,5,Tidak pernah,Jawa,
1/9/1978,Karyawan,Menikah,"Rp33.039.000,- ",1,0,-2954,4,30558,8877,12560,8215,8861,12702,1,2,0,4,5,Tidak pernah,Sumatera,
11/19/1958,Karyawan,Berumahtangga,"Rp46.610.000,- ",0,0,-3007,4,288558,10877,30560,4215,10861,125702,1,6,1,6,6,Tidak pernah,Jawa,
6/17/1958,Karyawan,Lajang,"Rp49.967.000,- ",0,1,-3017,4,212558,6877,69560,4215,12861,3702,3,6,1,5,7,Tidak pernah,Sumatera,
10/10/1976,Karyawan,Menikah,"Rp53.359.000,- ",1,1,-3059,4,173558,4877,30560,3215,6861,41702,4,5,1,4,7,Tidak pernah,NTT,
12/8/1971,Manager,Menikah,"Rp49.505.000,- ",1,1,-3142,4,604558,877,100560,19215,861,28702,9,10,2,8,8,Tidak pernah,Jawa,
4/8/1946,Manager,Menikah,"Rp68.657.000,- ",0,0,-3155,4,482558,34877,471560,119215,68861,22702,1,3,5,9,7,Tidak pernah,Kalimantan,
6/9/1954,Karyawan,Cerai,"Rp72.071.000,- ",0,1,-3161,4,531558,69877,300560,150215,138861,150702,3,5,4,8,2,Tidak pernah,Jawa,
9/27/1954,Karyawan,Cerai,"Rp72.071.000,- ",0,1,-3161,4,531558,69877,300560,150215,138861,150702,3,5,4,8,2,Tidak pernah,Sumatera,
3/9/1967,Manager,Lajang,"Rp59.235.000,- ",1,0,-3194,4,448558,40877,469560,80215,861,91702,3,11,2,12,7,Tidak pernah,Sulawesi,
1/1/1957,Karyawan,Berumahtangga,"Rp21.994.000,- ",0,1,-3213,4,9558,877,6560,3215,1861,3702,1,0,0,3,5,Tidak pernah,Kalimantan,
12/6/1957,Karyawan,Berumahtangga,"Rp21.994.000,- ",0,1,-3213,4,9558,877,6560,3215,1861,3702,1,0,0,3,5,Tidak pernah,Jawa,
12/2/1957,Kepala Divisi,Menikah,,2,1,-3248,4,230558,42877,192560,49215,37861,53702,12,7,2,8,9,Tidak pernah,NTB,
5/14/1972,Karyawan,Menikah,"Rp69.209.000,- ",0,0,-3311,4,496558,32877,849560,229215,48861,128702,2,5,3,6,4,Tidak pernah,Sumatera,0
2/10/1989,Karyawan,Berumahtangga,"Rp31.928.000,- ",1,0,-2754,5,33558,4877,24560,4215,2861,5702,2,3,0,4,7,Tidak pernah,Sulawesi,
2/1/1987,Kepala Divisi,Lajang,"Rp74.004.000,- ",0,0,-2786,5,784558,48877,560560,42215,176861,48702,1,4,6,4,3,Tidak pernah,Sulawesi,"[0, 4, 5]"
12/10/1987,C-level,Menikah,"Rp30.390.000,- ",0,0,-2961,5,10558,12877,12560,25215,1861,20702,1,2,0,3,6,Tidak pernah,Sulawesi,
8/5/1985,Karyawan,Menikah,"Rp21.355.000,- ",1,0,-2974,5,5558,13877,14560,215,5861,31702,2,2,1,2,6,Tidak pernah,NTT,"[2, 5]"
10/4/1969,Karyawan,Menikah,"Rp26.304.000,- ",1,0,-3032,5,4558,1877,5560,2215,861,4702,1,1,0,2,7,Tidak pernah,NTB,
2/31/1989,C-level,Menikah,"Rp85.710.000,- ",0,0,-3081,5,600558,20877,350560,29215,30861,33702,1,6,9,10,2,Tidak pernah,Sulawesi,4
1/31/1974,Karyawan,Cerai,"Rp102.692.000,- ",0,0,-3111,5,168558,148877,444560,32215,172861,148702,1,6,9,13,2,Tidak pernah,Bali,"[0, 1, 3, 4, 5]"
6/12/1971,Karyawan,Lajang,"Rp58.350.000,- ",0,1,-3202,5,493558,26877,206560,116215,80861,80702,4,8,3,12,6,Tidak pernah,Jawa,
7/23/1978,Karyawan,Lajang,"Rp7.500.000,- ",1,1,-3210,5,6558,5877,4560,13215,4861,25702,4,2,1,3,6,Tidak pernah,Jawa,
6/15/1984,Manager,Lajang,"Rp18.890.000,- ",0,0,-3257,5,6558,4877,1560,7215,2861,15702,1,0,1,2,6,Tidak pernah,Bali,"[2, 5]"
3/28/1986,Wirausaha,Menikah,"Rp20.425.000,- ",1,0,-3269,5,4558,12877,5560,3215,16861,17702,2,2,0,3,7,Tidak pernah,Sumatera,
10/22/1986,Wirausaha,Menikah,"Rp20.425.000,- ",1,0,-3269,5,4558,12877,5560,3215,16861,17702,2,2,0,3,7,Tidak pernah,NTB,
2/9/1957,Kepala Divisi,Cerai,"Rp41.437.000,- ",1,1,-3306,5,29558,877,2560,215,861,1702,1,1,0,3,7,Tidak pernah,Jawa,
11/16/1949,Manager,Berumahtangga,"Rp49.912.000,- ",0,1,-3321,5,520558,8877,223560,32215,49861,42702,4,10,5,7,8,Tidak pernah,Papua,"[2, 5]"
4/9/1949,Manager,Berumahtangga,"Rp49.912.000,- ",0,1,-3321,5,520558,8877,223560,32215,49861,42702,4,10,5,7,8,Tidak pernah,Kalimantan,"[2, 5]"
10/22/1959,Karyawan,Menikah,"Rp79.823.000,- ",0,1,-2751,6,835558,73877,380560,114215,73861,43702,1,6,9,7,2,Tidak pernah,Kalimantan,3
12/13/1954,Karyawan,Cerai,"Rp85.683.000,- ",0,0,-2761,6,1296558,17877,311560,45215,69861,51702,1,2,4,10,1,Tidak pernah,Jawa,"[0, 1, 3, 4, 5]"
4/21/1965,Kepala Divisi,Cerai,"Rp47.025.000,- ",1,1,-2801,6,16558,877,3560,215,861,1702,1,1,0,2,7,Tidak pernah,Jawa,
12/11/1976,Kepala Divisi,Menikah,"Rp68.397.000,- ",0,1,-2885,6,760558,80877,466560,17215,13861,80702,1,6,9,5,3,Tidak pernah,Bali,
12/22/1984,Kepala Divisi,Menikah,"Rp38.175.000,- ",1,0,-2940,6,70558,6877,69560,2215,3861,3702,3,3,1,4,7,Tidak pernah,Jawa,
1/15/1972,Manager,Lajang,"Rp46.423.000,- ",1,1,-2945,6,68558,877,16560,215,861,8702,3,2,0,4,7,Tidak pernah,Jawa,
12/30/1972,Manager,Lajang,"Rp46.423.000,- ",1,1,-2945,6,68558,877,16560,215,861,8702,3,2,0,4,7,Tidak pernah,Jawa,
10/3/1976,Manager,Berumahtangga,"Rp30.560.000,- ",1,0,-3028,6,9558,1877,5560,4215,5861,7702,1,1,0,3,7,Tidak pernah,Bali,
8/10/1976,Manager,Berumahtangga,"Rp30.560.000,- ",1,0,-3028,6,9558,1877,5560,4215,5861,7702,1,1,0,3,7,Tidak pernah,Sumatera,
